Device,Incident Type,Start Time,Recovery Time,Duration,Status
Local PC,WARNING,2026-08-13 23:16:44,2026-08-13 23:18:28,1 min 43 sec,RECOVERED
Google DNS,WARNING,2026-08-13 23:18:02,2026-08-13 23:18:09,0 min 6 sec,RECOVERED
Google DNS,WARNING,2026-08-13 23:20:17,2026-08-13 23:20:23,0 min 6 sec,RECOVERED
Google DNS,WARNING,2026-08-13 23:21:37,2026-08-13 23:21:43,0 min 6 sec,RECOVERED
Cloudflare DNS,CRITICAL,2026-08-13 23:21:43,2026-08-13 23:21:56,0 min 12 sec,RECOVERED
Google DNS,WARNING,2026-08-13 23:21:49,2026-08-13 23:21:56,0 min 6 sec,RECOVERED
Home Router,WARNING,2026-08-13 23:23:46,2026-08-13 23:23:52,0 min 6 sec,RECOVERED
